id,seq
80,"FileAST FuncDef Decl FuncDecl main void Compound Decl ArrayDecl a int 8 InitList 601 602 603 604 605 605 606 607 Decl k int Decl i int Decl j int 601 For = i 602 <= i 607 ++ i Compound = j ^ j i End For = k 0 < k 8 ++ k Compound = j ^ j ArrayRef a k End FuncCall printf ExprList ""%d"" j End"
5,"FileAST FuncDef Decl FuncDecl ParamList Typename TypeDecl void main int Compound Decl ch int Decl inWord int 0 While != = ch FuncCall getchar eof Compound If || || == ch ' ' == ch '\n' == ch '\t' Compound If inword Compound FuncCall printf ExprList ""\n"" End = inword 0 End Compound = inword 1 End If inword Compound FuncCall putchar ExprList ch End End Return 0 End"
56,"FileAST FuncDef Decl FuncDecl ParamList Typename TypeDecl void main int Compound While 1 Compound FuncCall printf ExprList ""Hello\n"" If FuncCall kbhit Compound If == 'n' FuncCall getch Compound Break End End End End"
25,"FileAST FuncDef Decl FuncDecl ParamList Typename TypeDecl void main int Compound Decl i int Decl number int Decl guess int Decl ret int Decl answer char FuncCall printf ExprList ""Welcome to the game of Guess It!\nI will choose a number between %d && %d.\nYou will try to guess that number.\nI will tell you if you guessed too high || too low.\nYou have %d tries to get the number.\n\nOK, I am thinking of a number. Try to guess it.\n\n"" low high tries FuncCall srand ExprList FuncCall time ExprList null While 1 Compound = number + % FuncCall rand high 1 For = i 0 < i tries ++ i Compound While 1 Compound FuncCall printf ExprList ""Your guess no. %d? "" + i 1 If != = ret FuncCall scanf ExprList "" %d"" & guess 1 Compound If == ret eof Compound FuncCall printf ExprList ""input canceled, exiting.\n"" Return 0 End FuncCall fprintf ExprList stderr ""  error: invalid input.\n"" FuncCall fflushstdin Continue End If || < guess low > guess high FuncCall printf ExprList ""Illegal guess. Your guess must be between %d && %d.\nTry again. Your guess?"" low high Break End If == guess number Compound FuncCall printf ExprList ""\n**** CORRECT  ****\n\nWant to play again(y/n) "" FuncCall fflushstdin While || != = ret FuncCall scanf ExprList "" %c"" & answer 1 && != answer 'y' != answer 'n' Compound FuncCall fprintf ExprList stderr ""error: invalid answer, play again (y/n) "" If == ret eof Compound FuncCall printf ExprList ""input canceled, exiting.\n"" Return 0 End FuncCall fflushstdin End If == answer 'y' done FuncCall printf ExprList ""Goodbye, It was fun. Play again soon.\n"" Return 0 End If > guess number FuncCall printf ExprList ""Too high!\n"" If < guess number FuncCall printf ExprList ""Too low!\n"" End FuncCall printf ExprList ""Sorry, you exhausted all your tries, number was: %d\nplay again (y/n) "" number FuncCall fflushstdin While || != = ret FuncCall scanf ExprList "" %c"" & answer 1 && != answer 'y' != answer 'n' Compound FuncCall fprintf ExprList stderr ""error: invalid answer, play again (y/n) "" If == ret eof Compound FuncCall printf ExprList ""input canceled, exiting.\n"" Return 0 End FuncCall fflushstdin End If != answer 'y' Break Label EmptyStatement EmptyStatement End Return 0 End"
35,"FileAST FuncDef Decl FuncDecl main int Compound Decl n int Decl i int Decl ArrayDecl str char 100 Decl PtrDecl PtrDecl strArray char FuncCall scanf ExprList ""%d"" & n = strarray Cast Typename PtrDecl PtrDecl TypeDecl char FuncCall malloc ExprList n For = i 0 < i n ++ i Compound = ArrayRef strarray i Cast Typename PtrDecl TypeDecl char FuncCall malloc ExprList * sizeof Typename TypeDecl char 100 FuncCall scanf ExprList ""%s"" ArrayRef strarray i End For = i 0 < i n ++ i Compound FuncCall printf ExprList ""%s\n"" ArrayRef strarray i FuncCall free ExprList ArrayRef strarray i End FuncCall getchar Return 0 End"
78,"FileAST FuncDef Decl FuncDecl main int Compound Decl ArrayDecl my_str char ""auiouxxxxxxaeibaou"" Decl todo_newline int 1 For DeclList Decl i int 0 != ArrayRef my_str i '\0' ++ i Compound If == FuncCall isvowel ExprList ArrayRef my_str i 1 Compound FuncCall printf ExprList ""%c"" ArrayRef my_str i = todo_newline 1 End Compound If == todo_newline 1 Compound FuncCall printf ExprList ""%c"" '\n' = todo_newline - 1 End End End End"
191,"FileAST FuncDef Decl FuncDecl ParamList Typename TypeDecl void main int Compound Decl ArrayDecl firstDigit char 3 Decl ArrayDecl secondDigit char 3 FuncCall printf ExprList ""Enter your first digit: "" If ! FuncCall fgets ExprList firstdigit sizeof firstdigit stdin Return 1 FuncCall printf ExprList ""\nEnter your second digit: "" If ! FuncCall fgets ExprList seconddigit sizeof seconddigit stdin Return 1 FuncCall printf ExprList ""\n\nYour first digit is %s && your second digit is %s.\n"" firstdigit seconddigit Return 0 End"
26,"FileAST FuncDef Decl FuncDecl ParamList Typename TypeDecl void main int Compound FuncCall srand ExprList FuncCall time ExprList 0 For Compound Decl number int + % FuncCall rand 200 1 Decl tries int 5 Decl found int 0 While -- tries Compound Decl guess int invalidinput While || < guess 1 > guess 200 Compound FuncCall fputs ExprList ""guess [1..200]: "" stdout = guess FuncCall readpositivenumber If == guess readerror Return exit_failure End If == guess number Compound FuncCall puts ExprList ""Correct!"" = found 1 Break End If < guess number FuncCall puts ExprList ""Too low!"" FuncCall puts ExprList ""Too high!"" End If ! found Compound FuncCall puts ExprList ""No luck!"" End Decl yn int invalidinput While < yn 0 Compound FuncCall fputs ExprList ""play again (y/n)? "" stdout = yn FuncCall readyesno If == yn readerror Return exit_failure End If ! yn Compound FuncCall puts ExprList ""Bye!"" Return exit_success End End End"
17,"FileAST FuncDef Decl FuncDecl main int Compound Decl i int 2 Decl fibonacci int 0 Decl fParcialone int 1 Decl fParcialtwo int 0 FuncCall printf ExprList ""The %2dst Fibonacci number is %3d\n"" - i 1 + fibonacci 1 = fibonacci + fparcialone fparcialtwo DoWhile <= = fibonacci + fparcialone fparcialtwo 100 Compound FuncCall printf ExprList ""The %2dst Fibonacci number is %3d\n"" i fibonacci = fparcialtwo fparcialone = fparcialone fibonacci ++ i End Return 0 End"
52,FileAST FuncDef Decl FuncDecl ParamList Decl PtrDecl q queue Decl value char QueueDeleteNext int Compound Decl PtrDecl prev node null Decl PtrDecl curr node StructRef q front Decl count int 0 While curr Compound If == StructRef curr gender value Compound Decl PtrDecl nn node curr If == prev null Compound = StructRef q front StructRef curr next End Compound = StructRef prev next StructRef curr next End If == curr StructRef q back = StructRef q back prev = curr StructRef curr next FuncCall free ExprList nn ++ count End Compound = prev curr = curr StructRef curr next End End Return count End
39,"FileAST FuncDef Decl FuncDecl main int Compound Decl dec_num int Decl i int 0 FuncCall printf ExprList ""type in 3 digits number to convert to binary\n"" Decl flag int FuncCall scanf ExprList ""%d"" & dec_num If != flag 1 Compound FuncCall printf ExprList ""Input is not recognized as an integer"" Return 0 End Decl size int 0 Decl ArrayDecl array int 120 InitList 0 While > dec_num 0 Compound If != % dec_num two 0 Compound = ArrayRef array i 1 End If == % dec_num two 0 Compound = ArrayRef array i 0 End = size ++ i = dec_num / dec_num two End For = i - size 1 >= i 0 -- i FuncCall printf ExprList ""%d"" ArrayRef array i Return 0 End"
11,"FileAST FuncDef Decl FuncDecl main int Compound Decl i int 1 Decl fibonacci int 1 DoWhile <= fibonacci 100 Compound FuncCall printf ExprList ""The %2dst Fibonacci number is %3d\n"" i fibonacci = fibonacci FuncCall fibonacci ExprList ++ i End Return 0 End"
47,"FileAST FuncDef Decl FuncDecl ParamList Typename TypeDecl void main int Compound Decl i int Decl ArrayDecl num double 10 For = i 1 <= i 10 ++ i Compound FuncCall printf ExprList ""Enter a number: "" If != FuncCall scanf ExprList ""%lf"" & ArrayRef num - i 1 1 Compound FuncCall puts ExprList ""read error"" Return 1 End End Return 0 End"
163,FileAST FuncDef Decl FuncDecl ParamList Decl lhs unsigned Decl rhs unsigned add_gray unsigned Compound Decl lhs_base unsigned FuncCall hyperfloor ExprList lhs Decl rhs_base unsigned FuncCall hyperfloor ExprList rhs If == lhs_base rhs_base Compound If == lhs rhs Compound Return ^ << lhs 1u FuncCall __builtin_parity ExprList lhs End Return ^ << lhs_base 1u FuncCall add_gray ExprList ^ lhs_base lhs ^ lhs_base rhs End If < lhs_base rhs_base Compound FuncCall swap ExprList & lhs & rhs FuncCall swap ExprList & lhs_base & rhs_base End If == lhs lhs_base Compound Return ^ lhs rhs End Decl tmp unsigned FuncCall add_gray ExprList ^ lhs lhs_base rhs If < FuncCall hyperfloor ExprList tmp lhs_base Compound Return ^ lhs_base tmp End Return ^ << lhs_base 1u ^ lhs_base tmp End
19,"FileAST FuncDef Decl FuncDecl ParamList Decl argc int Decl PtrDecl PtrDecl argv char main int Compound Decl val int - 1 Decl other char Decl code int If != argc 2 Compound FuncCall printf ExprList ""please give an arg to program\n"" FuncCall exit ExprList 0 End = code FuncCall sscanf ExprList ArrayRef argv 1 ""%d"" & val If == code 1 Compound FuncCall printf ExprList ""number %d"" val End Compound = code FuncCall sscanf ExprList ArrayRef argv 1 ""%c"" & other If == code 1 Compound FuncCall printf ExprList ""character is %c"" other End Compound FuncCall printf ExprList ""error occured"" End End End"
126,"FileAST FuncDef Decl FuncDecl main void Compound Decl ArrayDecl PtrDecl examples char InitList """" ""5"" ""D"" ""5D"" ""5Df"" ""deadbeef10203040b00b1e50"" ""02invalid55"" Decl ArrayDecl byte_array unsigned 128 Decl i int 0 For < i / sizeof examples sizeof Typename PtrDecl TypeDecl char ++ i Compound Decl size int FuncCall convert ExprList ArrayRef examples i byte_array 128 If < size 0 Compound FuncCall printf ExprList ""Failed to convert '%s'\n"" ArrayRef examples i End If == size 0 Compound FuncCall printf ExprList ""Nothing to convert for '%s'\n"" ArrayRef examples i End Compound FuncCall print ExprList byte_array size End End End"
108,"FileAST FuncDef Decl FuncDecl main int Compound Decl ArrayDecl source char ""v=0 o=sip_user IN 10230 22472 IP4 10.10.10.44 s=SIP_CALL c=IN IP4 10.10.10.44 m=audio 49152 RTP/AVP 0 8 a=rtpmap:0 PCMU/8000 a=rtpmap:8 PCMA/8000"" Decl ArrayDecl PtrDecl str char 7 Decl PtrDecl pf char source Decl PtrDecl ps char Decl i int For = i 0 < i 7 ++ i Compound = pf FuncCall strchr ExprList pf '=' = ps FuncCall strchr ExprList + pf 1 '=' If == ps null = ps + source / sizeof source sizeof Typename TypeDecl char -= ps 2 -= pf 1 = ArrayRef str i Cast Typename PtrDecl TypeDecl char FuncCall malloc ExprList * + - ps pf 1 sizeof Typename TypeDecl char FuncCall strncpy ExprList ArrayRef str i pf - ps pf += pf 2 End For = i 0 < i 7 ++ i FuncCall printf ExprList ""str%d %s\n"" + i 1 ArrayRef str i For = i 0 < i 7 ++ i FuncCall free ExprList ArrayRef str i Return 0 End"
84,"FileAST FuncDef Decl FuncDecl ParamList Typename TypeDecl void main int Compound Decl ArrayDecl x int 10 Decl i int Decl n int Decl first int Decl second int FuncCall printf ExprList ""Input the size of array :"" If || || != FuncCall scanf ExprList ""%d"" & n 1 < n 0 > n 10 Compound FuncCall printf ExprList ""invalid input\n"" Return 1 End If <= n 0 Compound = first = second 0 End Compound FuncCall printf ExprList ""Input %d elements in the array:\n"" n For = i 0 < i n ++ i Compound FuncCall printf ExprList ""x[%d]: "" i If != FuncCall scanf ExprList ""%d"" & ArrayRef x i 1 Compound FuncCall printf ExprList ""invalid input\n"" Return 1 End End = first = second ArrayRef x 0 For = i 1 < i n ++ i Compound If < first ArrayRef x i Compound = second first = first ArrayRef x i End If && > ArrayRef x i second != ArrayRef x i first Compound = second ArrayRef x i End End End If == second first FuncCall printf ExprList ""There is no second largest element\n"" FuncCall printf ExprList ""\nThe Second largest element in the array is: %d\n"" second Return 0 End"
111,"FileAST FuncDef Decl FuncDecl main int Compound Decl i int Decl j int Decl dup int 0 Decl ArrayDecl arr int 10 InitList 4 7 2 4 3 1 7 9 6 5 For = i 0 < i 10 ++ i Compound For = j + i 1 < j 10 ++ j Compound If == ArrayRef arr i ArrayRef arr j Compound FuncCall printf ExprList ""arr[%d] = %d = arr[%d] = %d\n"" i ArrayRef arr i j ArrayRef arr j ++ dup End End End FuncCall printf ExprList ""\nnumber of duplicates is %d\n"" dup Return 0 End"
221,"FileAST FuncDef Decl FuncDecl ParamList Typename TypeDecl void main int Compound Decl index unsigned Decl size unsigned Decl result int FuncCall fprintf ExprList stderr ""input the desired array size: "" While && != = result FuncCall scanf ExprList ""%u"" & size 1 != result eof Compound FuncCall fprintf ExprList stderr ""invalid input, try again\n"" FuncCall clearstdin End If == result eof Compound FuncCall fprintf ExprList stderr ""EOF recieved, ending the program\n"" Return - 1 End If < size somelargesize Compound Decl ArrayDecl array int size For = index 0 < index size ++ index Compound FuncCall fprintf ExprList stderr ""input an integer: "" If && == = result FuncCall scanf ExprList ""%d"" & ArrayRef array index 1 != result eof FuncCall fprintf ExprList stdout ""\tarray[%d] = %d\n"" index ArrayRef array index If == result eof Compound FuncCall fprintf ExprList stderr ""EOF recieved, ending the program\n"" Return - 1 End Compound FuncCall fprintf ExprList stderr ""invalid input, try again\n"" -= index 1 End FuncCall clearstdin End End Compound FuncCall fprintf ExprList stderr ""sorry, you requested a very large array\n"" Return - 1 End Return 0 End"
10,"FileAST FuncDef Decl FuncDecl main int Compound Decl i int 2 Decl fibonacci int 0 Decl fParcialone int 1 Decl fParcialtwo int 0 FuncCall printf ExprList ""The %2dst Fibonacci number is %3d\n"" - i 1 + fibonacci 1 = fibonacci + fparcialone fparcialtwo While <= fibonacci 100 Compound FuncCall printf ExprList ""The %2dst Fibonacci number is %3d\n"" i fibonacci = fparcialtwo fparcialone = fparcialone fibonacci = fibonacci + fparcialone fparcialtwo ++ i End Return 0 End"
14,"FileAST FuncDef Decl FuncDecl main int Compound Decl i int 2 Decl fibonacci int 0 Decl fParcialone int 1 Decl fParcialtwo int 0 FuncCall printf ExprList ""The %2dst Fibonacci number is %3d\n"" - i 1 + fibonacci 1 = fibonacci + fparcialone fparcialtwo While <= fibonacci 100 Compound FuncCall printf ExprList ""The %2dst Fibonacci number is %3d\n"" i fibonacci = fparcialtwo fparcialone = fparcialone fibonacci ++ i = fibonacci + fparcialone fparcialtwo End Return 0 End"
107,"FileAST FuncDef Decl FuncDecl main int Compound Decl ArrayDecl input char ""v=0 o=sip_user IN 10230 22472 IP4 10.10.10.44 s=SIP_CALL c=IN IP4 10.10.10.44 m=audio 49152 RTP/AVP 0 8 a=rtpmap:0 PCMU/8000 a=rtpmap:8 PCMA/8000"" Decl ArrayDecl PtrDecl parts char 16 InitList 0 Decl top int 0 Decl i int Decl PtrDecl s char input While && < top 15 = s FuncCall strchr ExprList s '=' Compound = ArrayRef parts ++ top - s 1 ++ s End For = i 1 ArrayRef parts i ++ i = ArrayRef ArrayRef parts i - 1 '\0' For = i 0 ArrayRef parts i ++ i FuncCall printf ExprList ""%s\n"" ArrayRef parts i Return 0 End"
112,"FileAST FuncDef Decl FuncDecl main int Compound Decl ArrayDecl values int InitList 88 56 100 2 100 56 56 56 2 1 Decl count int 0 FuncCall qsort ExprList values 5 sizeof Typename TypeDecl int cmpfunc For DeclList Decl i int 0 < i - size 1 ++ i Compound If == ArrayRef values i ArrayRef values + i 1 ++ count End FuncCall printf ExprList ""%d dupes"" count Return 0 End"
104,"FileAST FuncDef Decl FuncDecl ParamList Decl argc int Decl ArrayDecl PtrDecl argv char main int Compound Decl ArrayDecl temp char 100 Decl ArrayDecl op char 4 Decl PtrDecl buf char ""add 56 89 29"" Decl offset int 0 Decl used int 0 Decl rcount int 0 Decl lastno int - 999 Decl currno int FuncCall bzero ExprList & temp sizeof temp FuncCall sscanf ExprList buf ""%3s%n"" op & used += offset used If ! FuncCall strcmp ExprList op ""add"" Compound While == FuncCall sscanf ExprList + buf offset ""%99s%n"" temp & used 1 Compound = currno FuncCall atoi ExprList temp += offset used FuncCall printf ExprList ""Current no: %d\tOffset: %d\n"" currno offset = lastno currno End End Return 0 End"
131,"FileAST FuncDef Decl FuncDecl main void Compound Decl elesize int sizeof Typename TypeDecl int Decl i int Decl r int Decl ArrayDecl src int 20 Decl ArrayDecl tgt int 20 For = i 0 < i 20 = ArrayRef src i ++ i EmptyStatement FuncCall srand ExprList Cast Typename TypeDecl unsigned FuncCall time ExprList 0 For = i 20 > i 0 -- i Compound = r % FuncCall rand i FuncCall memcpy ExprList & ArrayRef tgt - 20 i & ArrayRef src r elesize FuncCall memcpy ExprList & ArrayRef src r & ArrayRef src - i 1 elesize End For = i 0 < i 20 FuncCall printf ExprList ""%d "" ArrayRef tgt ++ i EmptyStatement End"
64,"FileAST FuncDef Decl FuncDecl ParamList Decl argc int Decl ArrayDecl PtrDecl argv char main int Compound Decl ArrayDecl name char 64 Decl ArrayDecl buffer char 64 FuncCall printf ExprList ""Please enter your name: "" = file FuncCall fopen ExprList ""results.dat"" ""rw"" If ! file Compound FuncCall printf ExprList ""Results.dat could not be opened.\n"" FuncCall exit ExprList - 1 End If FuncCall fgets ExprList buffer 64 file Compound If FuncCall strcmp ExprList buffer ""john"" Compound FuncCall printf ExprList ""Contents of file is john\n"" End End Return 0 End"
16,"FileAST FuncDef Decl FuncDecl main int Compound Decl i int 2 Decl fibonacci int 0 Decl fParcialone int 1 Decl fParcialtwo int 0 FuncCall printf ExprList ""The %2dst Fibonacci number is %3d\n"" - i 1 + fibonacci 1 = fibonacci + fparcialone fparcialtwo While <= fibonacci 100 Compound FuncCall printf ExprList ""The %2dst Fibonacci number is %3d\n"" i fibonacci = fparcialtwo fparcialone = fparcialone fibonacci = fibonacci + fparcialone fparcialtwo ++ i End Return 0 End"
57,"FileAST FuncDef Decl FuncDecl main void Compound Decl sub int Decl a int Decl b int Decl carry int Decl temp int Decl c int Decl d int FuncCall clrscr FuncCall printf ExprList ""enter a && b:"" FuncCall scanf ExprList ""%d%d"" & a & b = c a = d b While b Compound = carry & a b = a ^ a b = b << carry 1 End FuncCall printf ExprList ""add(%d,%d):%d\n"" c d a = temp + ~ d 1 = sub + c temp FuncCall printf ExprList ""diff(%d,%d):%d\n"" c d temp FuncCall getch End"
178,"FileAST FuncDef Decl FuncDecl main int Compound * file pfile = pfile FuncCall fopen ExprList ""example.txt"" ""wb"" FuncCall fputs ExprList ""This is an apple."" pfile FuncCall fseek ExprList pfile * 1024 1024 seek_set FuncCall fputs ExprList "" sam"" pfile FuncCall fclose ExprList pfile Return 0 End"
3,"FileAST FuncDef Decl FuncDecl ParamList Typename TypeDecl void main int Compound Decl ArrayDecl a int 100 Decl n int Decl x int Decl i int 0 FuncCall scanf ExprList ""%d%d"" & n & x For = i 0 < i n ++ i Compound FuncCall scanf ExprList ""%d"" & ArrayRef a i End Return 0 End"
4,"FileAST FuncDef Decl FuncDecl ParamList Typename TypeDecl void main int Compound Decl PtrDecl a int null Decl n int Decl x int Decl i int FuncCall scanf ExprList ""%d%d"" & n & x If <= n 0 Compound FuncCall fprintf ExprList stderr ""n must be > 0\n"" Return 1 End = a FuncCall malloc ExprList * n sizeof Typename TypeDecl int If == a null Compound FuncCall fprintf ExprList stderr ""failed to allocate memory for %d integers\n"" n Return 1 End For = i 0 < i n ++ i Compound FuncCall scanf ExprList ""%d"" & ArrayRef a i End For = i 0 < i n ++ i Compound FuncCall printf ExprList ""a[%d] = %d\n"" i ArrayRef a i End FuncCall printf ExprList ""x = %d\n"" x FuncCall free ExprList a Return 0 End"
43,"FileAST FuncDef Decl FuncDecl main int Compound Decl dec_num int FuncCall printf ExprList ""type in a 3 digit number to convert to binary\n"" If != FuncCall scanf ExprList ""%d"" & dec_num 1 Compound FuncCall printf ExprList ""invalid input\n"" Return 1 End If || < dec_num 0 > dec_num 999 Compound FuncCall printf ExprList ""invalid value: must have at most 3 digits\n"" Return 1 End For Compound If != % dec_num 2 0 Compound FuncCall printf ExprList ""1"" End Compound FuncCall printf ExprList ""0"" End = dec_num / dec_num 2 If == dec_num 0 Break End FuncCall printf ExprList ""\n"" Return 0 End"
18,"FileAST FuncDef Decl FuncDecl main int Compound Decl i int 1 Decl fibonacci int 1 Decl fParcialone int 1 Decl fParcialtwo int 0 While <= fibonacci 100 Compound FuncCall printf ExprList ""The %2dst Fibonacci number is %3d\n"" i fibonacci = fibonacci + fparcialone fparcialtwo = fparcialtwo fparcialone = fparcialone fibonacci ++ i End Return 0 End"
171,"FileAST FuncDef Decl FuncDecl ParamList Typename TypeDecl void main int Compound Decl start timeval Decl end timeval Decl mtime long Decl secs long Decl usecs long FuncCall gettimeofday ExprList & start null FuncCall something_else FuncCall gettimeofday ExprList & end null = secs - StructRef end tv_sec StructRef start tv_sec = usecs - StructRef end tv_usec StructRef start tv_usec = mtime + + * secs 1000 / usecs 1000.0 0.5 FuncCall printf ExprList ""Elapsed time: %ld millisecs\n"" mtime Return 0 End"
30,"FileAST FuncDef Decl FuncDecl ParamList Typename TypeDecl void main int Compound Decl first_digit int Decl second_digit int FuncCall printf ExprList ""Enter two digits: "" FuncCall scanf ExprList ""%1d%1d"" & first_digit & second_digit If == first_digit 1 Compound Switch % second_digit 10 Compound Case 0 FuncCall printf ExprList "" ten"" Break Case 1 FuncCall printf ExprList "" eleven"" Break Case 2 FuncCall printf ExprList "" twelve"" Break Case 3 FuncCall printf ExprList "" thirteen"" Break Case 4 FuncCall printf ExprList "" fourteen"" Break Case 5 FuncCall printf ExprList "" fifteen"" Break Case 6 FuncCall printf ExprList "" sixteen"" Break Case 7 FuncCall printf ExprList "" seventeen"" Break Case 8 FuncCall printf ExprList "" eighteen"" Break Case 9 FuncCall printf ExprList "" ninteen"" Break End Return 0 End Switch % first_digit 10 Compound Case 1 FuncCall printf ExprList ""ten"" Break Case 2 FuncCall printf ExprList ""twenty"" Break Case 3 FuncCall printf ExprList ""thirty"" Break Case 4 FuncCall printf ExprList ""forty"" Break Case 5 FuncCall printf ExprList ""fifty"" Break Case 6 FuncCall printf ExprList ""sixty"" Break Case 7 FuncCall printf ExprList ""seventy"" Break Case 8 FuncCall printf ExprList ""eighty"" Break Case 9 FuncCall printf ExprList ""ninety"" Break End Switch % second_digit 10 Compound Case 0 Break Case 1 FuncCall printf ExprList "" one"" Break Case 2 FuncCall printf ExprList "" two"" Break Case 3 FuncCall printf ExprList "" three"" Break Case 4 FuncCall printf ExprList "" four"" Break Case 5 FuncCall printf ExprList "" five"" Break Case 6 FuncCall printf ExprList "" six"" Break Case 7 FuncCall printf ExprList "" seven"" Break Case 8 FuncCall printf ExprList "" eight"" Break Case 9 FuncCall printf ExprList "" nine"" Break End Return 0 End"
142,"FileAST FuncDef Decl FuncDecl ParamList Typename TypeDecl void menu char Compound Decl food char FuncCall printf ExprList ""Please select food from the following:\n"" FuncCall printf ExprList "" B = Burger, F = French Fries, P = Pizza, S = Sandwiches \n"" FuncCall printf ExprList ""Enter food:"" If != FuncCall scanf ExprList "" %c"" & food 1 Compound FuncCall perror ExprList ""scanf error"" FuncCall abort End Return food End"
97,"FileAST FuncDef Decl FuncDecl main int Compound Decl PtrDecl ptr_int int FuncCall func ExprList 3 Decl PtrDecl ptr_char char FuncCall func ExprList 4 FuncCall fprintf ExprList stdout ""int value = %d\n"" * ptr_int FuncCall fprintf ExprList stdout ""char value = %c\n"" * ptr_char FuncCall free ExprList ptr_int FuncCall free ExprList ptr_char Return 0 End"
